ts,uid,src_ip,src_port,src_mac,dst_ip,dst_port,dst_mac,proto,session_state,up_linklength,up_applength,up_pkts,down_linklength,down_applength,down_pkts
1595272234,C9rmceHGAQ9780T0EXs0R1h,10.1.199.6,54326,74:ea:c8:28:14:01,10.1.196.1,80,00:25:90:5b:8f:d5,http,4,3046,1364,31,51910,49310,48
1595272257,C6GCNJvfibAfr7pfAkKnEI9,10.1.199.6,52470,74:ea:c8:28:14:01,10.1.196.1,80,00:25:90:5b:8f:d5,http,4,56800,20400,674,2664697,2554209,2046
1595272228,C8BD34wtsfY7xAit7GBeMI3,10.1.199.6,5094,74:ea:c8:28:14:01,10.1.196.1,80,00:25:90:5b:8f:d5,http,4,2098,474,30,97196,93412,70
1595272241,CbFL2o01x4P4OCT2Mmq6hXg,121.10.254.33,64949,74:ea:c8:28:14:01,192.168.255.201,8010,00:23:7d:26:40:10,http,5,1034,752,5,1032,696,6
1595271940,CvfGB9OTb464BxT5IsQQAp3,10.1.199.29,36657,74:ea:c8:28:14:01,192.168.255.185,80,00:24:81:ff:cc:96,http,1,74,0,1,0,0,0
1595272252,CyvHChfG85P88Fyp9vxd0Yl,10.1.196.27,42097,00:50:56:b7:03:0f,10.1.196.1,80,00:25:90:5b:8f:d5,http,5,679,167,8,911,775,2
1595271950,CxbMa7NqHl75ZaJFVZyRKJb,10.1.199.36,45984,74:ea:c8:28:14:01,192.168.255.8,80,00:1b:78:be:5c:40,http,1,74,0,1,0,0,0
1595272230,C7g7MYJ1OXbkIWN09fngPd9,10.1.199.5,60028,74:ea:c8:28:14:01,10.1.196.2,80,00:1e:0b:ce:6e:f0,http,4,1131,263,16,1092,818,5
1595272253,ClBkzZXlbea3TBT96aCkYI6,10.1.199.248,38352,74:ea:c8:28:14:01,10.1.196.1,80,00:25:90:5b:8f:d5,http,5,2053,213,34,756,644,2
1595271935,CksQu2iZpwG9aUMT9aNFJJh,10.1.5.36,21431,74:ea:c8:28:14:01,10.1.196.21,23541,00:1c:c4:97:da:e6,unknown,4,1015,193,15,831,171,12
1595271972,CqM7WTbYzPn5nYqajetwEoc,10.1.199.29,37717,74:ea:c8:28:14:01,192.168.255.185,80,00:24:81:ff:cc:96,http,1,74,0,1,0,0,0
1595272244,CebmFRhEEj4eXcq0JbkNOz9,116.233.74.5,3285,74:ea:c8:28:14:01,10.1.196.21,82,00:1c:c4:97:da:e6,http,4,1580,252,20,1033,691,5
1595272257,CzntJpw2ugVaQzMd6MReZoc,10.1.196.27,40622,00:50:56:b7:03:0f,10.1.196.1,80,00:25:90:5b:8f:d5,http,5,575,171,6,70,0,1
1595272257,CyCmgcK7JaFlFZkFs0cJwFk,10.1.196.27,54988,00:50:56:b7:03:0f,10.1.196.1,80,00:25:90:5b:8f:d5,http,5,624,166,7,1503,1367,2
1595271935,Cpnvgcm92Xa6jkX3E4tXCnk,10.1.5.36,21432,74:ea:c8:28:14:01,10.1.196.21,35833,00:1c:c4:97:da:e6,unknown,4,918,150,14,684,132,10
1595272259,CFFRujPBmPZgnFgTaBD4dP2,10.1.196.27,41107,00:50:56:b7:03:0f,10.1.196.1,80,00:25:90:5b:8f:d5,http,5,683,171,8,70,0,1
1595272177,Co0K0DlwFsk5nEf3LxgMY8j,10.1.196.1,51823,00:25:90:5b:8f:d5,10.1.5.50,80,3c:8c:40:4e:dd:46,http,4,842,402,8,884,552,6
1595272259,CBnx7ZV9B1B1ANYf16I36Sh,10.1.196.27,40643,00:50:56:b7:03:0f,10.1.196.1,80,00:25:90:5b:8f:d5,http,5,570,166,6,70,0,1
1595272251,CllwmFHhkeBePFsOQpeD9ai,10.1.199.248,32087,74:ea:c8:28:14:01,10.1.196.1,80,00:25:90:5b:8f:d5,http,4,1209,287,17,3603,3167,8
1595272258,CceU1Jro6BC9ih84XGn71Jj,10.1.196.27,43353,00:50:56:b7:03:0f,10.1.196.1,80,00:25:90:5b:8f:d5,http,5,624,166,7,1479,1343,2
1595272258,CGmfAyRcvpQc6H6mP9zDra9,10.1.196.27,40949,00:50:56:b7:03:0f,10.1.196.1,80,00:25:90:5b:8f:d5,http,4,572,168,6,669,401,4
1595272254,CzioC2bQnBr4d5fUnmlBlbb,10.1.196.27,57800,00:50:56:b7:03:0f,10.1.196.1,80,00:25:90:5b:8f:d5,http,5,574,170,6,70,0,1
1595272257,CHRdKHdALwJjvtI2ufxflHc,10.1.196.27,39888,00:50:56:b7:03:0f,10.1.196.1,80,00:25:90:5b:8f:d5,http,5,688,176,8,70,0,1
1595272240,Cak9wxr9ZQT4IztD7rWMgi,10.1.196.27,45854,00:50:56:b7:03:0f,10.1.196.1,80,00:25:90:5b:8f:d5,http,5,807,187,10,70,0,1
1595272243,CW8BKeenTCdhBCFA12Hoo7c,10.1.199.5,54107,74:ea:c8:28:14:01,10.1.196.2,80,00:1e:0b:ce:6e:f0,http,4,1938,260,31,3445,3117,6
1595272240,CyBEG2Ybxv9bsVevN5NS73h,10.1.196.27,54199,00:50:56:b7:03:0f,10.1.196.1,80,00:25:90:5b:8f:d5,http,5,577,173,6,70,0,1
1595272240,CtmLqQUi8o21kZwf7oFXus8,10.1.196.27,53177,00:50:56:b7:03:0f,10.1.196.1,80,00:25:90:5b:8f:d5,http,5,575,171,6,70,0,1
1595272234,CkHGwIqMIIf7F2crgZBGo8i,10.1.196.27,58580,00:50:56:b7:03:0f,10.1.196.1,80,00:25:90:5b:8f:d5,http,5,737,171,9,888,752,2
1595272234,Ctch9h3xiu3a6lPJE5Es7U6,10.1.196.27,35722,00:50:56:b7:03:0f,10.1.196.1,80,00:25:90:5b:8f:d5,http,5,791,171,10,70,0,1
1595272259,CqVNEBkYnUJ7xhEm01WVhac,10.1.196.27,35386,00:50:56:b7:03:0f,10.1.196.1,80,00:25:90:5b:8f:d5,http,5,791,171,10,70,0,1
